RUL;id
166;1
133;2
71;3
103;4
125;5
139;6
119;7
104;8
124;9
127;10
74;11
99;12
110;13
123;14
169;15
151;16
55;17
78;18
142;19
21;20
76;21
157;22
173;23
33;24
160;25
118;26
146;27
105;28
114;29
118;30
20;31
59;32
109;33
9;34
11;35
17;36
56;37
52;38
159;39
20;40
77;41
14;42
77;43
126;44
84;45
43;46
136;47
126;48
10;49
126;50
139;51
37;52
36;53
172;54
152;55
13;56
116;57
62;58
176;59
135;60
37;61
50;62
70;63
50;64
168;65
14;66
163;67
14;68
152;69
120;70
139;71
81;72
170;73
119;74
163;75
11;76
42;77
182;78
128;79
86;80
11;81
10;82
138;83
61;84
131;85
96;86
151;87
149;88
128;89
35;90
31;91
25;92
36;93
56;94
160;95
171;96
84;97
98;98
160;99
20;100
